85,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,86
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82
84,-1,2,-1,72,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,74,-1,82
84,-1,-1,-1,82,95,73,73,73,73,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,84,-1,82
84,-1,-1,-1,92,93,93,93,93,86,95,73,73,74,-1,-1,72,73,73,73,73,96,84,-1,82
84,-1,-1,-1,-1,-1,-1,-1,-1,82,81,81,81,84,-1,-1,82,85,93,93,93,93,94,-1,82
84,-1,-1,-1,-1,-1,-1,-1,-1,92,93,93,93,94,-1,-1,82,84,-1,-1,-1,-1,-1,-1,82
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,84,-1,-1,200,-1,1,-1,82
84,-1,72,73,73,73,73,73,73,73,73,73,73,74,-1,-1,82,84,-1,-1,-1,-1,-1,-1,82
84,-1,92,93,93,86,85,93,93,93,93,93,-1,84,-1,-1,82,84,-1,72,73,74,-1,-1,82
84,-1,-1,-1,-1,82,84,-1,-1,-1,-1,-1,82,84,-1,-1,92,94,-1,82,83,84,-1,-1,82
84,-1,-1,-1,-1,82,84,-1,-1,-1,-1,-1,82,84,-1,-1,-1,-1,-1,92,93,94,-1,-1,82
84,-1,-1,-1,-1,82,84,-1,-1,1,-1,-1,82,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82
84,-1,-1,-1,-1,82,84,-1,-1,-1,-1,-1,82,95,73,73,73,73,74,-1,-1,-1,-1,-1,82
84,-1,-1,-1,-1,82,84,-1,-1,-1,-1,-1,92,93,93,93,86,-1,84,-1,-1,-1,-1,-1,82
84,-1,72,74,-1,82,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,84,-1,-1,-1,-1,-1,82
84,-1,82,84,-1,82,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,84,-1,-1,-1,-1,-1,82
84,-1,82,84,-1,82,84,-1,-1,-1,-1,295,-1,-1,-1,-1,82,-1,84,-1,-1,-1,-1,-1,82
84,-1,92,94,-1,82,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,84,-1,-1,2,-1,-1,82
84,-1,-1,-1,-1,82,95,73,73,74,-1,-1,-1,72,73,73,96,-1,84,-1,-1,-1,-1,-1,82
84,-1,-1,-1,-1,92,93,93,93,94,-1,-1,-1,82,-1,-1,-1,-1,84,-1,-1,-1,-1,-1,82
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,93,93,93,93,94,-1,-1,-1,-1,-1,82
84,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82
95,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,96
